State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Infra_Score,Floor_Ratio,Amenity_Score,BHK_Category,Is_Ready,School_Density,Hospital_Density,Security_Score,Luxury_Score,Growth_Rate,Future_Price_5Y,ROI,Good_Investment
Haryana,Gurgaon,Golf Course Road,Apartment,1,508,29.5,5807.086614173229,2007,Unfurnished,1.0,19,17,5.0,2.0,4,2,CCTV,"Playground, Garden",North,Builder,Available,11.0,0.05263157894736842,2,Studio/1BHK,1,0.5555554938271674,0.285714244897965,2,6,0.1,47.51004500000002,61.051000000000066,0
Punjab,Chandigarh,Mohali,House,2,915,48.04,5250.273224043716,1990,Semi Furnished,4.0,19,34,6.0,0.0,8,0,Gated Community,"Gym, Clubhouse, Playground",North-West,Builder,Under Construction,14.0,0.21052631578947367,3,2BHK,0,0.6666665925926009,0.0,3,6,0.07,67.37858514282802,40.25517307000003,0
West Bengal,Kolkata,Alipore,Studio,3,1037,67.02,6462.873674059788,1993,Fully Furnished,29.0,29,31,9.0,2.0,6,1,Security Guard,"Playground, Swimming Pool, Gym, Library, Garden, Clubhouse",South-East,Agent,Available,17.0,1.0,6,3BHK,1,0.9999998888889013,0.285714244897965,1,8,0.07,93.99901699151403,40.25517307000005,1
Uttar Pradesh,Noida,Sector 78,Apartment,5,1817,138.34,7613.648871766648,2000,Unfurnished,0.0,2,24,9.0,4.0,2,3,CCTV,Clubhouse,North-West,Builder,Available,15.0,0.0,1,4+BHK,1,0.9999998888889013,0.57142848979593,2,6,0.08,203.26684614451207,46.932807680000046,1
Haryana,Gurgaon,DLF Phase,Villa,4,1692,150.46,8892.43498817967,1999,Fully Furnished,25.0,42,25,4.0,6.0,4,3,Security Guard,"Garden, Gym, Library, Playground, Clubhouse",South-West,Builder,Available,14.0,0.5952380952380952,5,4+BHK,1,0.44444439506173394,0.857142734693895,1,9,0.1,242.3173346000001,61.05100000000006,1
West Bengal,Kolkata,Rajarhat,Apartment,2,717,55.68,7765.690376569038,2008,Fully Furnished,29.0,35,16,6.0,6.0,3,0,CCTV,"Playground, Swimming Pool, Garden",North,Agent,Available,15.0,0.8285714285714286,3,2BHK,1,0.6666665925926009,0.857142734693895,2,5,0.07,78.09408036537602,40.255173070000026,0
West Bengal,Kolkata,Salt Lake,Studio,3,1295,82.49,6369.884169884169,2019,Fully Furnished,15.0,19,5,1.0,3.0,2,3,Security Guard,Clubhouse,North-West,Agent,Available,6.0,0.7894736842105263,1,3BHK,1,0.11111109876543349,0.4285713673469475,1,5,0.07,115.69649226544303,40.25517307000004,0
Karnataka,Bangalore,Electronic City,Villa,1,615,37.1,6032.5203252032525,2009,Semi Furnished,24.0,36,15,1.0,0.0,6,0,CCTV,"Playground, Library, Clubhouse, Swimming Pool",South-East,Agent,Available,7.0,0.6666666666666666,4,Studio/1BHK,1,0.11111109876543349,0.0,2,6,0.1,59.74992100000002,61.05100000000006,0
Uttar Pradesh,Noida,Greater Noida West,House,2,701,34.5,4921.54065620542,2016,Semi Furnished,3.0,19,8,9.0,1.0,1,3,CCTV,"Garden, Swimming Pool, Clubhouse, Library",South-East,Individual,Sold,11.0,0.15789473684210525,4,2BHK,0,0.9999998888889013,0.1428571224489825,2,9,0.08,50.691818649600016,46.932807680000046,0
Maharashtra,Nagpur,Hingna,House,3,1121,37.07,3306.8688670829615,2001,Fully Furnished,14.0,21,23,7.0,2.0,4,3,CCTV,"Swimming Pool, Clubhouse",East,Individual,Sold,13.0,0.6666666666666666,2,3BHK,0,0.7777776913580343,0.285714244897965,2,7,0.07,51.992592657049016,40.25517307000005,1
Maharashtra,Pune,Baner,Apartment,2,496,31.46,6342.741935483871,2003,Unfurnished,1.0,13,21,5.0,4.0,8,3,CCTV,"Swimming Pool, Playground",South,Agent,Available,17.0,0.07692307692307693,2,2BHK,1,0.5555554938271674,0.57142848979593,2,7,0.08,46.22506129612802,46.93280768000005,1
Gujarat,Ahmedabad,Motera,Apartment,2,920,53.16,5778.260869565217,2023,Semi Furnished,10.0,12,1,4.0,4.0,5,0,CCTV,"Playground, Swimming Pool, Clubhouse, Library, Gym, Garden",North-East,Builder,Under Construction,13.0,0.8333333333333334,6,2BHK,0,0.44444439506173394,0.57142848979593,2,8,0.08,78.10948056268802,46.932807680000046,0
Delhi,Delhi,Vasant Kunj,Penthouse,4,1919,201.03,10475.768629494529,1991,Unfurnished,14.0,30,33,2.0,7.0,3,3,Gated Community,Clubhouse,West,Individual,Available,12.0,0.4666666666666667,1,4+BHK,1,0.22222219753086697,0.9999998571428775,3,7,0.1,323.76082530000014,61.051000000000066,1
Maharashtra,Pune,Viman Nagar,Apartment,4,1412,135.84,9620.396600566572,2021,Fully Furnished,12.0,22,3,3.0,7.0,2,0,Gated Community,"Gym, Library, Clubhouse, Garden, Playground, Swimming Pool",West,Individual,Under Construction,12.0,0.5454545454545454,6,4+BHK,0,0.33333329629630043,0.9999998571428775,3,9,0.08,199.59352595251207,46.932807680000046,0
Gujarat,Ahmedabad,Satellite,Penthouse,4,1800,115.17,6398.333333333333,2010,Fully Furnished,24.0,29,14,9.0,7.0,4,0,CCTV,"Swimming Pool, Library",South-East,Individual,Available,20.0,0.8275862068965517,2,4+BHK,1,0.9999998888889013,0.9999998571428775,2,4,0.08,169.22251460505606,46.932807680000046,1
Gujarat,Ahmedabad,Bopal,Apartment,3,1317,82.71,6280.182232346241,2000,Semi Furnished,29.0,46,24,6.0,3.0,7,2,Security Guard,"Clubhouse, Library, Garden, Playground, Swimming Pool, Gym",North,Builder,Available,16.0,0.6304347826086957,6,3BHK,1,0.6666665925926009,0.4285713673469475,1,9,0.08,121.52812523212803,46.932807680000046,1
Madhya Pradesh,Bhopal,MP Nagar,House,2,709,22.67,3197.4612129760226,2019,Semi Furnished,22.0,34,5,8.0,4.0,8,3,Gated Community,Library,North,Agent,Sold,20.0,0.6470588235294118,1,2BHK,0,0.8888887901234679,0.57142848979593,3,7,0.07,31.795847734969012,40.25517307000005,0
Tamil Nadu,Chennai,Velachery,Studio,3,1163,74.43,6399.828030954429,2008,Unfurnished,15.0,16,16,2.0,2.0,9,0,Security Guard,"Gym, Playground, Swimming Pool, Garden",South-West,Agent,Available,13.0,0.9375,4,3BHK,1,0.22222219753086697,0.285714244897965,1,5,0.08,109.36208875622405,46.93280768000006,1
Kerala,Kochi,Edapally,House,2,882,36.47,4134.920634920635,2019,Semi Furnished,22.0,41,5,5.0,4.0,7,3,Gated Community,Clubhouse,North-East,Agent,Available,16.0,0.5365853658536586,1,2BHK,1,0.5555554938271674,0.57142848979593,3,7,0.07,51.151061618629015,40.25517307000005,1
Punjab,Chandigarh,Panchkula,Apartment,2,878,50.51,5752.847380410023,1993,Fully Furnished,6.0,9,31,6.0,6.0,9,1,Gated Community,"Gym, Clubhouse",South-West,Agent,Under Construction,21.0,0.6666666666666666,2,2BHK,0,0.6666665925926009,0.857142734693895,3,6,0.07,70.84288791765702,40.25517307000005,0
Punjab,Chandigarh,Sector 22,Apartment,4,1562,96.59,6183.738796414853,2010,Fully Furnished,13.0,30,14,1.0,5.0,4,3,CCTV,"Garden, Clubhouse, Swimming Pool",South-West,Individual,Available,10.0,0.43333333333333335,3,4+BHK,1,0.11111109876543349,0.7142856122449125,2,8,0.07,135.47247166831303,40.255173070000026,0
Gujarat,Ahmedabad,Motera,Apartment,2,869,53.17,6118.527042577675,1994,Fully Furnished,9.0,28,30,3.0,6.0,1,1,Gated Community,"Garden, Gym, Swimming Pool, Clubhouse",North,Builder,Available,10.0,0.32142857142857145,4,2BHK,1,0.33333329629630043,0.857142734693895,3,8,0.08,78.12417384345603,46.93280768000006,0
Maharashtra,Nagpur,Hingna,House,1,345,11.41,3307.246376811594,2016,Fully Furnished,2.0,3,8,0.0,4.0,7,0,Gated Community,"Playground, Gym, Garden, Clubhouse",North,Individual,Available,11.0,0.6666666666666666,4,Studio/1BHK,1,0.0,0.57142848979593,3,7,0.07,16.003115247287006,40.25517307000005,0
Karnataka,Mysore,Vijayanagar,House,2,783,26.79,3421.455938697318,1996,Fully Furnished,10.0,27,28,3.0,4.0,2,0,Security Guard,"Gym, Garden",West,Individual,Available,9.0,0.37037037037037035,2,2BHK,1,0.33333329629630043,0.57142848979593,1,3,0.07,37.57436086545301,40.25517307000004,0
Haryana,Gurgaon,DLF Phase,Villa,2,769,51.13,6648.8946684005205,2020,Fully Furnished,6.0,9,4,1.0,3.0,9,2,Gated Community,"Library, Clubhouse",North,Individual,Under Construction,13.0,0.6666666666666666,2,2BHK,0,0.11111109876543349,0.4285713673469475,3,7,0.1,82.34537630000003,61.051000000000045,0
Telangana,Hyderabad,Madhapur,Apartment,4,1764,150.73,8544.784580498865,2009,Unfurnished,21.0,28,15,6.0,1.0,6,1,CCTV,"Clubhouse, Library, Garden, Swimming Pool, Playground",East,Agent,Available,13.0,0.75,5,4+BHK,1,0.6666665925926009,0.1428571224489825,2,8,0.08,221.47182101606407,46.93280768000005,1
Haryana,Gurgaon,DLF Phase,Apartment,3,985,97.94,9943.147208121827,2014,Unfurnished,9.0,11,10,0.0,4.0,9,2,Gated Community,"Garden, Playground, Swimming Pool",North,Individual,Available,13.0,0.8181818181818182,3,3BHK,1,0.0,0.57142848979593,3,8,0.1,157.73334940000004,61.051000000000045,1
Madhya Pradesh,Indore,Vijay Nagar,House,3,1297,47.26,3643.793369313801,2014,Semi Furnished,27.0,39,10,5.0,6.0,8,1,CCTV,Clubhouse,South-West,Builder,Under Construction,19.0,0.6923076923076923,1,3BHK,0,0.5555554938271674,0.857142734693895,2,4,0.07,66.28459479288202,40.25517307000005,1
Karnataka,Bangalore,Koramangala,House,3,1253,104.82,8365.522745411014,2006,Unfurnished,7.0,8,18,2.0,0.0,9,0,CCTV,"Clubhouse, Garden, Library, Playground",South-West,Individual,Under Construction,11.0,0.875,4,3BHK,0,0.22222219753086697,0.0,2,6,0.1,168.81365820000005,61.05100000000006,0
Uttar Pradesh,Lucknow,Indiranagar,Studio,3,859,24.83,2890.570430733411,2004,Semi Furnished,13.0,21,20,7.0,4.0,7,0,Security Guard,Library,South-East,Builder,Available,18.0,0.6190476190476191,1,3BHK,1,0.7777776913580343,0.57142848979593,1,2,0.07,34.825359473281004,40.255173070000026,1
Madhya Pradesh,Indore,Vijay Nagar,House,3,1330,39.15,2943.6090225563908,1999,Semi Furnished,20.0,28,25,5.0,4.0,3,0,CCTV,"Playground, Library, Garden, Gym",East,Individual,Available,12.0,0.7142857142857143,4,3BHK,1,0.5555554938271674,0.57142848979593,2,6,0.07,54.90990025690501,40.25517307000003,1
Telangana,Hyderabad,Jubilee Hills,House,3,1349,113.57,8418.82876204596,2023,Unfurnished,6.0,6,1,6.0,3.0,5,0,Gated Community,"Garden, Clubhouse, Library, Swimming Pool",East,Builder,Under Construction,14.0,1.0,4,3BHK,0,0.6666665925926009,0.4285713673469475,3,7,0.08,166.87158968217605,46.93280768000005,1
Maharashtra,Pune,Viman Nagar,House,4,1539,118.03,7669.265756985055,1996,Semi Furnished,15.0,23,28,6.0,3.0,3,0,CCTV,"Gym, Clubhouse, Library",South-West,Agent,Under Construction,12.0,0.6521739130434783,3,4+BHK,0,0.6666665925926009,0.4285713673469475,2,5,0.08,173.42479290470408,46.93280768000007,0
