ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1,Haryana,Gurgaon,Golf Course Road,Apartment,1,508,29.5,5807.27,2007,Unfurnished,1,19,17,5,2,4,2,CCTV,"Playground, Garden",North,Builder,Available
2,Punjab,Chandigarh,Mohali,House,2,915,48.04,5250.35,1990,Semi Furnished,4,19,34,6,0,8,0,Gated Community,"Gym, Clubhouse, Playground",North-West,Builder,Under Construction
3,West Bengal,Kolkata,Alipore,Studio,3,1037,67.02,6462.41,1993,Fully Furnished,29,29,31,9,2,6,1,Security Guard,"Playground, Swimming Pool, Gym, Library, Garden, Clubhouse",South-East,Agent,Available
4,Uttar Pradesh,Noida,Sector 78,Apartment,5,1817,138.34,7613.63,2000,Unfurnished,0,2,24,9,4,2,3,CCTV,None,North-West,Builder,Available
5,Haryana,Gurgaon,DLF Phase,Villa,4,1692,150.46,8892.17,1999,Fully Furnished,25,42,25,4,6,4,3,Security Guard,"Garden, Gym, Library, Playground, Clubhouse",South-West,Builder,Available
6,West Bengal,Kolkata,Rajarhat,Apartment,2,717,55.68,7766.27,2008,Fully Furnished,29,35,16,6,6,3,0,CCTV,"Playground, Swimming Pool, Garden",North,Agent,Available
7,West Bengal,Kolkata,Salt Lake,Studio,3,1295,82.49,6369.57,2019,Fully Furnished,15,19,5,1,3,2,3,Security Guard,None,North-West,Agent,Available
8,Karnataka,Bangalore,Electronic City,Villa,1,615,37.1,6033.19,2009,Semi Furnished,24,36,15,1,0,6,0,None,"Playground, Library, Clubhouse, Swimming Pool",South-East,Agent,Available
9,Uttar Pradesh,Noida,Greater Noida West,House,2,701,34.5,4921.71,2016,Semi Furnished,3,19,8,9,1,1,3,CCTV,"Garden, Swimming Pool, Clubhouse, Library",South-East,Individual,Sold
10,Maharashtra,Nagpur,Hingna,House,3,1121,37.07,3307.15,2001,Fully Furnished,14,21,23,7,2,4,3,CCTV,"Swimming Pool, Clubhouse",East,Individual,Sold
11,Maharashtra,Pune,Baner,Apartment,2,496,31.46,6342.34,2003,Unfurnished,1,13,21,5,4,8,3,CCTV,"Swimming Pool, Playground",South,Agent,Available
12,Gujarat,Ahmedabad,Motera,Apartment,2,920,53.16,5778.02,2023,Semi Furnished,10,12,1,4,,5,0,CCTV,"Playground, Swimming Pool, Clubhouse, Library, Gym, Garden",North-East,Builder,Under Construction
13,Delhi,Delhi,Vasant Kunj,Penthouse,4,1919,201.03,10475.78,1991,Unfurnished,14,30,33,2,7,3,3,Gated Community,None,West,Individual,Available
14,Maharashtra,Pune,Viman Nagar,Apartment,4,1412,135.84,9620.47,2021,Fully Furnished,12,22,3,3,7,2,0,Gated Community,"Gym, Library, Clubhouse, Garden, Playground, Swimming Pool",West,Individual,Under Construction
15,Maharashtra,Mumbai,Dadar,Villa,3,1386,285.83,20622.37,2007,Unfurnished,25,43,17,7,1,6,3,CCTV,"Clubhouse, Garden, Playground, Gym, Library",East,Individual,Available
